타임스탬프,본인이 생각하기에 자신이 얼마나 야민정음에 익숙한가요?,대 - 머,파 - 과,피 - 끠,포 - 쪼,비 - 네,우 - 윽,유 - 윾,며 - 띠,광 - 팡,ㅍ - 고,디 - ㅁ,구 - ㅋ,켜 - 궈,ㅂ - 너,근 - ㄹ,리 - 긘,라 - 콰,읍 - 윰,녕 - 덩,왕 - 앟,통 - 듷,봉 - 넣,픈 - 곧,교 - 꼬,인 - 외,되 - 티,답 - 돤,익 - 의,임 - 읜,일 - 읟,위 - 읶,억 - 여,콘 - 귣,지 - 거,시 - ㅐ,서 - ㅒ,녀 - 티,귀 - 커,리 - 쾨,저 - 겨,찌 - 꺼,끄 - ㅍ,든 - ㅌ,또 - 포,백 - 뿌,1. 역시 대한민국의 육군은,2. 논문을 써야 하는데 폭풍 수면해버림,3. 이 장면 너무 귀엽고 대명작,4. 전 대통령과 비슷하네,5. 우유 먹은 사람 자수하고 광명 찾자,6. 곧 대구 도착해서 유명한 피자 집 갈 것,7. 국문과 강의가 ㄹㅇ 명강,번역기 수정에 참고할 수 있는 추가 의견을 부탁드립니다.
12/12/2017 17:55:28,4,4,4,2,1,4,5,5,5,5,2,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,역ㅐ 머한만국의 뇽곤긍,국곰을 써야 하는데 폭풍 수댼해버림,이 장댼 너무 커엽규 머띵작,전 머통령파 네슷하비,아야 먹긍 사람 자수하고 팡덍찾자,둔 머구 도착해서 유덍한 괴자집 갈 것,논곰파 강의가 ㄹㅇ 띵강,없음
12/12/2017 17:55:48,4,5,5,2,1,4,5,5,2,3,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,5,1,1,1,4,1,1,1,역시 머한민국의 육군은,곰국을 서야 하는데 옾높 수면 해버림,이 장면 너무 커엽고 머띵작,전 머통령과 미슷하네,우유 먹은 사람 자수하고 광띵찾자,곧 머구 도착해서 유명한 피자집 갈 것,국문과 강의가 ㄹㅇ 띵강,
12/12/2017 18:02:10,4,5,5,3,1,4,2,4,5,5,2,3,1,1,1,5,2,1,1,1,1,4,3,1,1,4,3,2,5,2,2,5,2,1,3,1,1,1,5,2,2,1,2,1,4,3,역시 머한민국익 육군은,논문을 써야 하는데 폭풍 수띤해버림,이 장띤 너무 커렵고 머띵작,전 머듷령과 네슷하비,우유 댁은 사람 자수하고 팡띵 찾자,곧 머구 도착해서 윾띵한 괴자 집 갈 것,국문파 강의가 ㄹㅇ 띵강,
12/12/2017 18:11:06,4,5,5,5,2,5,4,4,5,4,2,2,3,5,1,5,2,2,2,2,2,2,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,역시 머한민국의 육군은,논문을 써야 하는데 폭풍 수면 해버림,이 장면 너무 커엽고 머띵작,전 머통령과 비슷하네,우유 먹은 사람 자수하고 팡명 찾자,곧 머구 도착해서 유명한 괴자집 갈 것,국문과 강의가 ㄹㅇ 띵강,
12/12/2017 18:13:59,4,5,4,2,1,2,2,4,4,5,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,1,1,1,1,1,역시 머한민국의 육군은,곰국을 끓여야 하는데 포풍 수면해버림,이 장먼 너무 커엽고 머띵작,전 머통령과 비슷하네,우유 먹은 사람 자수하고 광명 찾자,곧 머구 도착해서 유명한 피자집 갈 것,국문과 강의가 ㄹㅇ 띵강,.
12/12/2017 18:15:48,4,5,5,3,1,5,4,5,5,5,2,1,1,1,3,5,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,2,1,1,2,1,3,1,윾시 머한민국의 육군은,국곰을 써야 하는데 폭풍 수면해 버림,이 장핀 너무 커엽고 머띵작,전 머통령과 비슷하비,우유 먹은 사람 자수하고 팡명 찾자,곧 머구 도착해서 유띵한 띠자 집 갈 것,국문파 강의가 ㄹㅇ 띵강,
12/12/2017 18:22:28,4,5,5,5,3,5,5,5,5,5,4,3,3,5,3,4,3,2,2,1,2,1,2,3,3,5,3,1,5,2,2,3,4,1,5,2,2,3,5,3,3,3,5,3,3,2,역시 머한민국익 육군은,곰국릉 써야 하는데 옾눞 수면해버림,이 장면 너무 커엽ㅁ 머띵작,전 머통령파 네슷하비,아야 먹긍 사람 자수하ㅁ 팡띵 찾자,곧 머구 도팍해서 윾띵한 끠자 집 갈 것,곰논파 강익가 근ㅇ 띵강,
12/12/2017 18:23:20,2,5,4,2,1,2,4,4,5,4,4,4,2,2,2,4,2,1,1,1,1,1,3,2,2,4,2,1,2,2,2,2,2,1,2,1,1,1,5,2,1,1,1,1,1,1,역시 머한민국의 육군은,국곰을 써야 하는데 폭풍 수면해버림,이 장면 너무 커엽고 머띵장,전 머통령과 비슷하네,우유 먹은 사람 자수하고 광띵찾자,곧 머구 도착해서 유명한 괴자 집 갈 것,곰논파 강의가 ㄹㅇ띵강,
12/12/2017 18:23:46,2,5,4,4,2,4,5,5,5,4,3,2,2,3,4,4,2,1,1,3,3,2,1,1,2,3,3,1,4,2,2,3,2,1,4,1,1,3,5,2,2,2,3,2,3,2,역시 머한민국의 곤뇽은,곰국을 써야 하는데 폭풍저그 홍진호가 간다.,이 장띤 너무 커엽고 대띵작,말씀이 지나치시네요,우유 먹은 사람 자수하고 팡띵찾자,곧 머구 도착해서 유명한 탐정 사무소입니다,스푸도어앤드 렉쳐고 진실로 네임리버,죄송합니다. 번역기 수정용인줄 모르고 몇 개 장난을 쳤네요.. 세종대왕 화이팅 !
12/12/2017 18:29:15,5,5,5,3,1,4,4,5,4,4,2,1,4,2,3,5,4,1,1,2,4,2,2,1,2,2,3,1,1,1,1,1,2,1,3,2,1,1,5,2,2,1,2,2,1,1,역시 머한민논의 육군은,릉곰국 써여 허는데 옾눞 수면해버림,이 장면 너무 커엽고 머띵작,전 머통령과 네슷하비,아야 먹은 사람 자수하고 팡띵 찾자,곧 머ㅋ 도착해서 유명한 피자 집 갈 것,국문과 강의가 ㄹㅇ 띵강,음절 단위보다 단어 단위로 변환하면 오류를 줄일 수 있을 것 같습니다!
12/12/2017 18:32:45,5,5,5,5,1,5,4,5,5,5,3,4,2,1,2,5,3,1,2,2,4,2,2,2,2,5,4,1,5,3,2,4,2,1,2,1,1,3,5,2,1,1,4,5,4,5,머한민국 곤뇽,곡꿍 수띤,장띤 ㅂ무 커엽고 머띵작,머통령차 네슷하비,아야 ㅍ 팡띵,머구 유띵한 괴자,국문파 띵강,"야민정음도 몇 개 패턴으로 고착화되고 있고 나머진 안쓰임. 그리고 한자 섞어 쓰는 거나, 한자로 변환한 다음에 그걸 다시 야민정음화시킨 예컨대 유식대장>유식머튽 같은 것도 그 고착화된 패턴 중 하나."
12/12/2017 18:32:46,5,5,5,5,1,5,4,5,5,5,3,4,2,1,2,5,3,1,2,2,4,2,2,2,2,5,4,1,5,3,2,4,2,1,2,1,1,3,5,2,1,1,4,5,4,5,머한민국 곤뇽,곡꿍 수띤,장띤 ㅂ무 커엽고 머띵작,머통령차 네슷하비,아야 ㅍ 팡띵,머구 유띵한 괴자,국문파 띵강,"야민정음도 몇 개 패턴으로 고착화되고 있고 나머진 안쓰임. 그리고 한자 섞어 쓰는 거나, 한자로 변환한 다음에 그걸 다시 야민정음화시킨 예컨대 유식대장>유식머튽 같은 것도 그 고착화된 패턴 중 하나."
12/12/2017 18:39:11,3,4,3,2,1,1,1,4,4,5,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,역시 머한민국의 육군은,논곰울 써야 하는데 눞옾 수면해버림,이 장면 ㅒ무 커엽고 머명작,전 머통령과 비슷하네,우유 댁긍 사람 자수하고 팡뎡 찾자,곧 머구 도착해서 유뎡한 피자 집 갈것,논곰과 강의가 근ㅇ 띵강,
12/12/2017 18:55:16,4,5,5,1,1,4,5,5,5,5,5,3,5,3,3,5,3,1,1,1,4,1,1,1,2,2,2,1,5,1,1,1,1,1,4,2,2,2,5,1,3,1,2,1,1,1,여윾시 머한민국 육군은,곰국릉 써야 하는데 포풍 슥면해버림,이 장면 너무 커엽고 머띵작,전 머통령파 비슷하네,윽윾 먹은 사람 자슥하고 팡띵 찾자,곧 머구 도착해서 유띵한 피자집 갈 것,놈논파 강익가 ㄹㅇ 띵강,"대-머 처럼 광범위하게 쓰이는 변환이 아니라면, 야민정음 꼴로 자주 보이는 단어들일수록 변환이 자연스러운 것 같아요. 적어도, 음소기반이 아니라 음절 기반인 건 확신해요."
12/12/2017 19:13:15,3,5,4,2,1,1,3,4,5,5,1,3,1,4,1,4,1,1,1,2,1,1,1,3,2,1,1,1,3,1,1,2,1,1,4,1,1,1,4,1,3,1,1,1,1,1,역시 머한민국익 곤뇽은,곰국을 써야 하는데 폭풍 수댼해또림,이 장띤 너무 커엽고 머띵작,견 머통령과 뜨슷하네,윽윾 댁은 사람 자수하ㅍ 퍙띵 찾자,둔 머구 도착해서 윾띵한 괴자 집 갈 것,논곰파 강익가 ㄹㅇ 띵강,
12/12/2017 19:34:51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,4,5,5,5,5,4,4,5,4,4,5,5,4,5,5,5,2,4,5,역시 머한민국익 곤뇽은,JㅓJ마J을 써야 하는되l 홍진호 수띤 해tㅐ림,이 장띤 ㅂ믁 커엽고 머띵작,전 머통령파 네슷하비,윽윾 댁은 사钻 자슥하ㅍ 팡띵찾자,곧 머구 도착해서 윾띵한 끠자집 갈 次,곰논파 강익가 근ㅇ 띵-강,人丨己亻
12/12/2017 19:37:21,5,5,5,4,3,5,5,5,5,5,5,3,2,2,1,5,4,2,2,3,4,2,1,3,2,2,2,2,4,3,2,2,3,1,5,3,3,2,5,3,4,2,2,2,3,1,역ㅐ 머한뫼국의 육군은,논문을 써야 하는데 폭풍 수면해버림,이 튽면 너무 커엽고 머띵작,전 머통형파 비슷하비,우유 댁은 사람 자수하고 팡띵찾자,곧 머구 도착해서 윾띵한 피자집 갈 것,국문파 강의가 ㄹㅇ 띵강,
12/12/2017 20:01:44,5,5,5,5,1,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,5,1,1,1,1,5,5,1,5,1,1,5,1,1,5,1,1,1,5,1,5,1,5,1,1,1,역시 머화뫼논익 곤뇽은,곰국릉 써야 하극데 웊높 수띤해버림,이 장띤 너무 커엽고 머띵작,견 머통령파 네슷하비,우윾 댁은 사람 자수하고 팡띵 찾자,곧 머구 내착해서 윾띵화 끠자겁 갈 것,논곰파 강익가 ㄹㅇ 띵강,
12/12/2017 20:31:55,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,ㄹ혜만도 못함,ㅠㅠ 망했군,ㅇㅈ합니다,ㄹ혜답다,농,부럽다,ㅇㅈㅇㅈ,
12/12/2017 20:45:02,5,5,5,5,1,5,4,4,5,5,4,2,2,3,3,5,1,1,2,1,3,3,3,2,2,1,1,1,5,1,1,1,2,1,3,2,2,2,5,1,1,2,1,1,1,1,역시 머한민국의 긍곤뇽,곰국을 써아 하는머 옾눞 수띤해버림,이 장띤 너무 커엽고 머띵작,전 머통령파 네슷하비,우유 먹은 사람 자수하고 팡띵 찾자,곧 머구 도착해서 유띵한 괴자 집 갈 것,곰논파 강의가 ㄹㅇ 띵강,과이팅
